Liechtenstein,LIE,
Sri Lanka,LKA,4052.746934
Lower middle income,LMC,2260.886361
Low & middle income,LMY,4864.013197
Lesotho,LSO,982.970426
Late-demographic dividend,LTE,9691.337995
Lithuania,LTU,17208.03203
Luxembourg,LUX,104529.3444
Latvia,LVA,15568.66194
"Macao SAR, China",MAC,36172.29279
St. Martin (French part),MAF,
Morocco,MAR,2818.771657
Monaco,MCO,159221.6168
Moldova,MDA,3250.305715
Madagascar,MDG,442.1929571
Maldives,MDV,6660.833299
Middle East & North Africa,MEA,6982.479295
Mexico,MEX,8909.677654
Marshall Islands,MHL,3508.798189
Middle income,MIC,5335.034777
North Macedonia,MKD,5115.918611
Mali,MLI,781.7314548
Malta,MLT,24531.95888
Myanmar,MMR,1586.90232
Middle East & North Africa (excluding high income),MNA,3747.463797
Montenegro,MNE,6512.617568
Mongolia,MNG,4126.699124
Northern Mariana Islands,MNP,
Mozambique,MOZ,574.5951778
Mauritania,MRT,1549.957236
Mauritius,MUS,9058.207089
Malawi,MWI,394.0031621
Malaysia,MYS,10631.50739
North America,NAC,56885.09427
Namibia,NAM,4047.862166
New Caledonia,NCL,
Niger,NER,522.5555831
Nigeria,NGA,2396.036462
Nicaragua,NIC,1922.35386
Netherlands,NLD,46327.67159
Norway,NOR,75017.15675
Nepal,NPL,1028.463277
Nauru,NRU,8367.188613
New Zealand,NZL,40218.39102
OECD members,OED,35968.92704
Oman,OMN,15743.22429
Other small states,OSS,11957.30643
Pakistan,PAK,1446.811977
Panama,PAN,12172.31082
Peru,PER,5792.18794
Philippines,PHL,3269.670767
Palau,PLW,13250.89961
Papua New Guinea,PNG,2666.211255
Poland,POL,14640.8093
Pre-demographic dividend,PRE,1448.378015
Puerto Rico,PRI,29010.36014
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,19747.3593
Paraguay,PRY,5670.751986
West Bank and Gaza,PSE,2917.887797
Pacific island small states,PSS,3612.409388
Post-demographic dividend,PST,41357.12879
French Polynesia,PYF,
Qatar,QAT,56026.88724
Romania,ROU,10828.45145
Russian Federation,RUS,9666.814664
Rwanda,RWA,834.3896159
South Asia,SAS,1742.522881
Saudi Arabia,SAU,18691.24742
Sudan,SDN,1127.724342
Senegal,SEN,1364.838239
Singapore,SGP,58056.80642
Solomon Islands,SLB,2136.337563
Sierra Leone,SLE,623.8890927
El Salvador,SLV,3632.453881
San Marino,SMR,
Somalia,SOM,444.7884307
Serbia,SRB,6540.724693
Sub-Saharan Africa (excluding high income),SSA,1581.35846
South Sudan,SSD,
Sub-Saharan Africa,SSF,1582.441654
Small states,SST,10958.05359
Sao Tome and Principe,STP,1692.218743
Suriname,SUR,7529.6141
Slovak Republic,SVK,17353.73081
Slovenia,SVN,22915.14572
Sweden,SWE,51539.56022
Eswatini,SWZ,3723.296142
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,14079.16127
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,20723.91526
Chad,TCD,634.7517905
East Asia & Pacific (IDA & IBRD countries),TEA,8251.638731
Europe & Central Asia (IDA & IBRD countries),TEC,8703.176816
Togo,TGO,626.6220554
Thailand,THA,6198.414269
Tajikistan,TJK,1199.059889
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,7874.935389
Timor-Leste,TLS,1587.857159
Middle East & North Africa (IDA & IBRD countries),TMN,3757.680627
Tonga,TON,4629.881391
South Asia (IDA & IBRD),TSA,1742.522881
Sub-Saharan Africa (IDA & IBRD countries),TSS,1582.441654
Trinidad and Tobago,TTO,14872.37711
Tunisia,TUN,3780.603112
Turkey,TUR,12038.62811
Tuvalu,TUV,3791.458542
Tanzania,TZA,1061.170346
Uganda,UGA,891.2959039
Ukraine,UKR,2344.363068
Upper middle income,UMC,9394.268924
Uruguay,URY,15044.64003
United States,USA,58559.67451
Uzbekistan,UZB,3154.408224
St. Vincent and the Grenadines,VCT,6962.753668
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2655.767774
Vanuatu,VUT,2638.892416
World,WLD,10542.30071
Samoa,WSM,4357.068633
Kosovo,XKX,4024.138854
"Yemen, Rep.",YEM,
South Africa,ZAF,5659.206949
Zambia,ZMB,1273.879558
Zimbabwe,ZWE,1307.01363
